,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,user_session,user_response,user_id,database_id
91,0.589,0.621,5,-6.902,0,0.0468,0.00969,0.00104,0.181,0.401,140.03,1,0,1,5bb7ac9c0c27ee4c381ddc50
92,0.361,0.601,3,-7.3,1,0.0304,0.141,0.00104,0.178,0.205,145.85,1,0,1,5bb7ac940c27ee4c381dd9ee
93,0.574,0.655,9,-6.363,1,0.0279,0.193,7.57e-05,0.252,0.411,146.925,1,1,1,5bb7ac970c27ee4c381ddac9
94,0.322,0.482,6,-9.407,1,0.0295,0.604,0.0,0.111,0.399,150.017,1,1,1,5bb7ac960c27ee4c381dda88
95,0.63,0.894,10,-4.592,1,0.0544,0.255,0.0,0.181,0.364,142.051,1,1,1,5bb7ac980c27ee4c381ddb30
96,0.479,0.477,11,-6.886,1,0.0363,0.127,0.0,0.15,0.127,151.97,1,1,1,5bb7ac9a0c27ee4c381ddbd6
97,0.455,0.515,2,-8.727,0,0.0439,0.71,0.00061,0.132,0.474,153.499,1,1,1,5bb7ac8a0c27ee4c381dd70c
98,0.188,0.952,0,-4.499,1,0.201,0.00138,0.000856,0.381,0.152,155.973,1,0,1,5bb7ac8e0c27ee4c381dd82e
99,0.397,0.557,9,-4.333,0,0.0332,0.0403,0.0,0.0811,0.351,155.884,1,0,1,5bb7ac930c27ee4c381dd9aa
100,0.548,0.297,0,-9.214,1,0.0359,0.731,1.21e-06,0.098,0.761,157.913,1,1,1,5bb7ac930c27ee4c381dd9cb
101,0.551,0.968,11,-2.194,0,0.0817,0.131,0.0,0.114,0.387,150.022,1,1,1,5bb7ac930c27ee4c381dd992
102,0.0,0.0,0,-60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,5bb7ac910c27ee4c381dd93a
103,0.468,0.324,5,-14.102,1,0.0377,0.992,1.8e-06,0.386,0.713,48.561,1,1,1,5bb7ac910c27ee4c381dd90f
104,0.404,0.435,4,-12.045,0,0.0323,0.246,0.00074,0.156,0.156,136.058,1,1,1,5bb7ac980c27ee4c381ddb3a
105,0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744,1,1,1,5bb7ac890c27ee4c381dd6a7
106,0.636,0.901,1,-7.094,0,0.118,0.119,0.0,0.391,0.836,162.994,1,0,1,5bb7ac960c27ee4c381dda85
107,0.702,0.76,6,-8.443,0,0.0712,0.036,0.000355,0.0777,0.445,132.003,1,1,1,5bb7ac920c27ee4c381dd947
108,0.876,0.716,1,-6.884,1,0.135,0.0468,0.000482,0.0667,0.755,131.942,1,1,1,5bb7ac8f0c27ee4c381dd876
109,0.728,0.679,11,-6.764,1,0.0271,0.299,0.00787,0.11,0.953,131.716,1,0,1,5bb7ac8e0c27ee4c381dd83f
110,0.552,0.842,6,-5.053,0,0.0314,0.016,0.00029,0.126,0.316,127.994,1,1,1,5bb7ac8e0c27ee4c381dd816
111,0.791,0.635,7,-8.146,1,0.0749,0.00359,0.882,0.11,0.369,123.979,1,1,1,5bb7ac8d0c27ee4c381dd7c9
112,0.634,0.988,4,-0.201,1,0.043,0.0469,0.000684,0.495,0.91,128.022,1,1,1,5bb7ac930c27ee4c381dd9a8
113,0.612,0.24,9,-12.821,1,0.033,0.745,7.86e-05,0.115,0.223,122.565,1,1,1,5bb7ac9a0c27ee4c381ddbc0
114,0.68,0.567,2,-10.298,0,0.0426,0.281,0.476,0.089,0.201,128.009,1,1,1,5bb7ac970c27ee4c381ddabd
115,0.455,0.903,5,-3.451,0,0.0583,0.000555,0.000181,0.0883,0.343,134.049,1,1,1,5bb7ac8f0c27ee4c381dd895
116,0.815,0.812,5,-5.305,1,0.0443,0.205,0.00978,0.165,0.883,119.99,1,1,1,5bb7ac980c27ee4c381ddb2b
117,0.276,0.999,1,-2.415,0,0.228,2.38e-05,0.00596,0.237,0.0406,121.711,1,0,1,5bb7ac8f0c27ee4c381dd8a5
118,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,1,1,1,5bb7ac980c27ee4c381ddb0f
119,0.844,0.506,11,-11.082,0,0.0453,0.0878,1.65e-05,0.0323,0.515,127.099,1,0,1,5bb7ac8f0c27ee4c381dd86f
120,0.788,0.874,0,-3.336,1,0.0805,0.00219,0.00231,0.0998,0.629,126.988,1,0,1,5bb7ac8d0c27ee4c381dd7f1
121,0.494,0.455,4,-10.252,0,0.0394,0.578,8.64e-05,0.0666,0.637,119.989,1,1,1,5bb7ac950c27ee4c381dda4a
122,0.0,4.87e-05,7,-12.298,1,0.0,0.935,0.913,0.0969,0.0,0.0,1,0,1,5bb7ac8e0c27ee4c381dd82a
123,0.195,0.139,2,-20.849,0,0.0381,0.476,0.706,0.0671,0.035,58.638,1,1,1,5bb7ac950c27ee4c381dda58
124,0.399,0.465,8,-10.626,0,0.0382,0.719,0.0264,0.0746,0.281,207.959,1,1,1,5bb7ac9b0c27ee4c381ddc2e
125,0.429,0.458,8,-7.132,1,0.0343,0.979,0.0529,0.247,0.638,59.077,1,0,1,5bb7ac9b0c27ee4c381ddc0d
126,0.545,0.489,6,-7.81,0,0.34,0.179,0.00011,0.0823,0.157,60.218,1,0,1,5bb7ac970c27ee4c381ddb05
127,0.0605,0.152,4,-18.672,0,0.0402,0.348,0.00496,0.106,0.053,61.385,1,1,1,5bb7ac950c27ee4c381dda57
128,0.392,0.183,5,-16.805,1,0.0655,0.987,0.899,0.0688,0.16,63.424,1,1,1,5bb7ac960c27ee4c381ddaa0
129,0.0598,0.425,8,-9.701,0,0.0447,0.0404,0.843,0.201,0.0625,64.075,1,0,1,5bb7ac890c27ee4c381dd6d0
130,0.396,0.959,1,-3.705,1,0.0932,6.05e-06,0.944,0.0672,0.0352,100.038,1,0,1,5bb7ac8c0c27ee4c381dd7b0
131,0.375,0.00723,7,-41.935,0,0.0422,0.987,0.927,0.153,0.135,119.581,1,0,1,5bb7ac8c0c27ee4c381dd776
132,0.238,0.00345,1,-35.842,0,0.0405,0.995,0.939,0.0979,0.118,166.288,1,1,1,5bb7ac9a0c27ee4c381ddbdf
133,0.248,0.993,11,-4.907,1,0.189,5.66e-05,0.0209,0.0978,0.0998,184.934,1,0,1,5bb7ac8c0c27ee4c381dd7aa
134,0.0992,0.012,3,-29.215,0,0.0407,0.977,0.963,0.0972,0.0342,89.717,1,1,1,5bb7ac9a0c27ee4c381ddbaf
135,0.764,0.352,6,-12.68,1,0.142,0.48,0.0,0.0616,0.955,86.205,1,1,1,5bb7ac980c27ee4c381ddb4e
136,0.43,0.779,7,-7.314,1,0.0477,0.247,0.0,0.124,0.535,64.868,1,1,1,5bb7ac930c27ee4c381dd9ce
137,0.689,0.521,0,-5.845,1,0.132,0.119,8.41e-05,0.108,0.178,95.055,1,1,1,5bb7ac950c27ee4c381dda5a
138,0.587,0.889,1,-5.541,1,0.0704,0.0168,0.0,0.0806,0.787,167.936,1,0,1,5bb7ac950c27ee4c381dda5c
139,0.374,0.967,7,-5.934,1,0.0763,0.482,0.0,0.228,0.842,205.798,1,0,1,5bb7ac9a0c27ee4c381ddbf7
140,0.463,0.949,7,-3.092,1,0.0978,0.00814,1.3e-05,0.601,0.577,162.02,1,1,1,5bb7ac980c27ee4c381ddb39
141,0.456,0.391,2,-11.706,0,0.0425,0.924,0.955,0.122,0.161,170.398,1,1,1,5bb7ac9a0c27ee4c381ddbd2
142,0.415,0.935,5,-3.124,0,0.0407,0.000193,0.0123,0.125,0.345,175.041,1,0,1,5bb7ac8b0c27ee4c381dd732
143,0.327,0.686,10,-11.835,0,0.161,0.163,0.194,0.948,0.631,172.79,1,0,1,5bb7ac8a0c27ee4c381dd70a
144,0.395,0.578,9,-7.728,0,0.039,0.47,0.0,0.171,0.689,166.227,1,1,1,5bb7ac8f0c27ee4c381dd85a
145,0.538,0.817,1,-9.847,1,0.184,0.0757,0.451,0.352,0.503,169.939,1,0,1,5bb7ac910c27ee4c381dd92e
146,0.432,0.458,0,-9.723,1,0.0399,0.23,0.719,0.111,0.232,152.572,1,1,1,5bb7ac920c27ee4c381dd953
147,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,1,0,1,5bb7ac980c27ee4c381ddb41
148,0.44,0.943,1,-2.194,1,0.0413,6.62e-05,0.00143,0.189,0.837,161.05,1,0,1,5bb7ac930c27ee4c381dd99f
149,0.684,0.828,11,-4.596,1,0.0471,0.00223,0.904,0.642,0.411,128.023,2,1,1,5bb7ac970c27ee4c381ddad4
150,0.693,0.456,2,-9.658,1,0.0496,0.0927,5.52e-05,0.111,0.333,129.996,2,1,1,5bb7ac910c27ee4c381dd941
151,0.333,0.0797,10,-14.597,1,0.036,0.97,0.0,0.112,0.221,176.535,2,1,1,5bb7ac930c27ee4c381dd9c7
152,0.403,0.888,7,-3.382,0,0.0413,0.056,0.00161,0.0682,0.391,176.483,2,0,1,5bb7ac980c27ee4c381ddb12
153,0.439,0.931,11,-2.59,0,0.0473,1.92e-05,1.21e-05,0.193,0.527,135.944,2,0,1,5bb7ac900c27ee4c381dd8c1
154,0.477,0.264,9,-8.083,1,0.0408,0.808,0.0,0.286,0.468,130.931,2,1,1,5bb7ac8f0c27ee4c381dd855
155,0.278,0.676,9,-8.821,1,0.0371,0.000423,0.000899,0.136,0.494,104.545,2,1,1,5bb7ac920c27ee4c381dd95b
156,0.715,0.655,0,-6.425,1,0.137,0.0525,0.0,0.115,0.531,95.078,2,1,1,5bb7ac980c27ee4c381ddb2e
157,0.336,0.424,5,-7.203,1,0.0353,0.503,0.0,0.273,0.159,82.149,2,1,1,5bb7ac990c27ee4c381ddb63
158,0.59,0.255,9,-20.316,1,0.0395,0.57,9.23e-05,0.101,0.511,133.127,2,1,1,5bb7ac900c27ee4c381dd8b3
159,0.365,0.632,11,-6.574,1,0.0303,0.444,0.708,0.127,0.289,129.545,2,1,1,5bb7ac970c27ee4c381ddae3
160,0.508,0.832,11,-4.395,1,0.032,0.000372,0.0,0.0859,0.404,136.004,2,1,1,5bb7ac980c27ee4c381ddb37
161,0.273,0.973,1,-3.324,0,0.0807,0.000892,0.0,0.388,0.179,133.428,2,0,1,5bb7ac8e0c27ee4c381dd835
162,0.451,0.523,11,-8.679,1,0.0521,0.00841,0.000644,0.0774,0.511,117.515,2,0,1,5bb7ac8f0c27ee4c381dd898
163,0.751,0.5,5,-7.921,0,0.0304,0.315,0.000206,0.0792,0.963,98.384,2,1,1,5bb7ac8a0c27ee4c381dd712
164,0.631,0.482,1,-6.761,0,0.121,0.428,0.0,0.0819,0.677,100.013,2,1,1,5bb7ac8f0c27ee4c381dd85f
165,0.441,0.655,5,-15.734,0,0.0363,0.00237,0.96,0.24,0.149,113.108,2,1,1,5bb7ac950c27ee4c381dda54
166,0.472,0.875,4,-5.024,0,0.0446,0.00345,0.00576,0.128,0.461,136.064,2,0,1,5bb7ac8e0c27ee4c381dd83e
167,0.495,0.503,3,-6.838,1,0.032,0.67,0.0,0.14,0.333,185.088,2,1,1,5bb7ac8b0c27ee4c381dd74a
168,0.658,0.881,6,-5.99,1,0.036,0.0304,1.53e-06,0.12,0.834,122.313,2,0,1,5bb7ac890c27ee4c381dd6bb
169,0.548,0.83,5,-7.025,0,0.0437,0.000486,0.161,0.0777,0.466,130.009,2,1,1,5bb7ac9b0c27ee4c381ddc21
170,0.88,0.55,1,-8.591,1,0.0829,0.00499,0.142,0.267,0.531,123.002,2,0,1,5bb7ac8d0c27ee4c381dd7c5
171,0.68,0.983,2,-3.51,1,0.333,0.0184,0.0,0.289,0.263,149.829,2,0,1,5bb7ac8c0c27ee4c381dd798
172,0.917,0.549,7,-6.415,1,0.117,0.0929,0.0102,0.112,0.923,128.934,2,1,1,5bb7ac980c27ee4c381ddb20
173,0.607,0.718,9,-8.142,1,0.133,0.595,0.0,0.364,0.876,139.183,2,1,1,5bb7ac980c27ee4c381ddb53
174,0.576,0.947,10,-2.754,0,0.0405,0.403,0.0122,0.313,0.656,125.024,2,1,1,5bb7ac930c27ee4c381dd9ac
175,0.467,0.203,10,-15.189,1,0.0319,0.895,0.00154,0.098,0.46,76.403,2,1,1,5bb7ac8b0c27ee4c381dd746
176,0.523,0.442,4,-14.121,1,0.0347,0.0189,0.000494,0.0784,0.277,81.083,2,0,1,5bb7ac920c27ee4c381dd960
177,0.74,0.831,7,-9.232,1,0.0569,0.143,0.000463,0.13,0.95,130.017,2,1,1,5bb7ac890c27ee4c381dd6b1
178,0.522,0.441,1,-11.703,0,0.028,0.416,0.0,0.22,0.199,130.133,2,1,1,5bb7ac900c27ee4c381dd8b5
179,0.235,0.86,4,-2.842,0,0.0561,0.00272,0.0969,0.388,0.342,127.788,2,0,1,5bb7ac940c27ee4c381dda29
180,0.451,0.144,0,-11.619,1,0.0391,0.319,0.0,0.0915,0.234,89.948,2,0,1,5bb7ac930c27ee4c381dd9cd
181,0.64,0.864,7,-6.576,1,0.0315,0.00832,0.0,0.123,0.7,102.026,2,1,1,5bb7ac890c27ee4c381dd6ce
182,0.226,0.628,0,-14.434,1,0.061,0.677,0.172,0.161,0.298,183.794,2,0,1,5bb7ac900c27ee4c381dd8e2
183,0.713,0.569,11,-10.908,0,0.07,0.112,0.00643,0.144,0.302,124.629,2,0,1,5bb7ac900c27ee4c381dd8da
184,0.282,0.968,1,-5.464,1,0.173,1.82e-05,0.248,0.252,0.117,112.392,2,0,1,5bb7ac8f0c27ee4c381dd8a1
185,0.841,0.639,7,-5.908,1,0.0694,0.451,0.0,0.0626,0.982,119.95,2,1,1,5bb7ac940c27ee4c381dd9e4
186,0.642,0.289,9,-9.918,1,0.0367,0.669,0.0,0.18,0.407,84.996,2,1,1,5bb7ac980c27ee4c381ddb15
187,0.43,0.878,9,-4.291,0,0.043,0.00379,1.96e-06,0.281,0.311,103.982,2,0,1,5bb7ac940c27ee4c381dd9f8
188,0.189,0.903,1,-3.81,1,0.063,8.03e-05,0.0069,0.529,0.578,85.045,2,0,1,5bb7ac8e0c27ee4c381dd831
189,0.879,0.499,2,-9.785,1,0.0643,0.000831,0.805,0.0516,0.607,122.003,2,1,1,5bb7ac8d0c27ee4c381dd7c2
190,0.321,0.832,8,-4.726,0,0.0957,0.00037,0.378,0.192,0.393,185.871,2,0,1,5bb7ac930c27ee4c381dd9ae
191,0.533,0.95,10,-5.455,1,0.0508,0.00827,0.00148,0.123,0.63,155.994,2,0,1,5bb7ac8a0c27ee4c381dd6e8
