database_id,spotify_id,song_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5bb7ac890c27ee4c381dd6cb,1z4xjDLLWJgG48Bn8OCxZv,Help I'm Alive,https://p.scdn.co/mp3-preview/a37196269a921d238a2e7054e682abc9f3195242?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.565,0.877,5,-4.561,0,0.0614,0.00813,0.00251,0.26,0.389,118.484
5bb7ac890c27ee4c381dd6cc,37McwOy3miqBP2NyXMmT5w,Colours,https://p.scdn.co/mp3-preview/290aa3dadf0f3ebbee2dc1ab37bf97bb84442e33?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.527,0.837,6,-5.424,1,0.0391,0.0172,0,0.136,0.259,93.95
5bb7ac890c27ee4c381dd6cd,7hm4HTk9encxT0LYC0J6oI,Someday,https://p.scdn.co/mp3-preview/320766cb9483ef72966ebaa0369034246a100b63?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.538,0.52,9,-7.46,1,0.0299,0.00425,0,0.367,0.678,106.031
5bb7ac890c27ee4c381dd6ce,42et6fnHCw1HIPSrdPprMl,Semi-Charmed Life,https://p.scdn.co/mp3-preview/14a7c5f918d8665cf88466ba52ada3481c2d164f?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.64,0.864,7,-6.576,1,0.0315,0.00832,0,0.123,0.7,102.026
5bb7ac890c27ee4c381dd6cf,6KtLECDztnah63TNmV4Plw,Wish You Were Here,https://p.scdn.co/mp3-preview/db50a25ea77c872ac29673633b98fb2273a1a010?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.246,0.768,9,-7.48,1,0.0387,0.000631,0.301,0.102,0.35,169.873
5bb7ac890c27ee4c381dd6d0,08PetOZf03tZyFxXJB3F5R,In the Air II,https://p.scdn.co/mp3-preview/b4f512dd6857c4051f832e5854c76dcbec518c69?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.0598,0.425,8,-9.701,0,0.0447,0.0404,0.843,0.201,0.0625,64.075
5bb7ac890c27ee4c381dd6d1,0YkKDfTYI70WkYSBWh2LQM,2-Step,https://p.scdn.co/mp3-preview/0781055604beba5bc0c05273e31c27eb61dc6546?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.374,0.113,4,-15.006,1,0.0307,0.804,0.835,0.121,0.0516,107.954
5bb7ac890c27ee4c381dd6d2,4TwMjlyVd6FFqnJyGho73M,The Birds,https://p.scdn.co/mp3-preview/b7905dfbcc1be8449fed2a534ce40d5d9e433e58?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.423,0.881,11,-8.357,0,0.0522,0.0647,0.591,0.0939,0.178,119.943
5bb7ac890c27ee4c381dd6d3,1beB8x5zGWu7rQS7Y6jOLQ,Elegiac,https://p.scdn.co/mp3-preview/da34915764457f6463a598a09b3d69a84cc97edd?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.651,0.279,3,-14.753,1,0.0287,0.638,0.885,0.0679,0.332,126.977
5bb7ac8a0c27ee4c381dd6d4,6xwhCiWXREsAIQVZqHswVw,Minecraft,https://p.scdn.co/mp3-preview/b59621932b397fc2e5ed1960e4d5a764c552edf4?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.267,0.0154,1,-22.922,1,0.0445,0.98,0.636,0.0662,0.108,141.012
